Year,Competition,Position,Team,Games Played,Won,Lost,Draw,Scored,Conceded,Points,Comments
2015/16,Campeonato Regional Boa Vista,8,Sanjoanense,14.0,0.0,3.0,11.0,5.0,30.0,3,
2014/15,Campeonato Regional Boa Vista,1,Académica,14.0,11.0,3.0,0.0,33.0,7.0,36,champions [C]
2014/15,Campeonato Regional Boa Vista,2,África Show,14.0,8.0,4.0,2.0,29.0,15.0,28,
2014/15,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,6.0,5.0,3.0,26.0,14.0,23,
2014/15,Campeonato Regional Boa Vista,4,Sal-Rei,14.0,4.0,6.0,4.0,18.0,15.0,18,
2014/15,Campeonato Regional Boa Vista,5,Juventude,14.0,4.0,3.0,7.0,23.0,24.0,15,
2014/15,Campeonato Regional Boa Vista,6,Sporting,14.0,4.0,3.0,7.0,16.0,16.0,15,
2014/15,Campeonato Regional Boa Vista,7,Sanjoanense,14.0,3.0,4.0,7.0,11.0,23.0,13,
2014/15,Campeonato Regional Boa Vista,8,Desportivo,14.0,0.0,4.0,10.0,10.0,51.0,4,
2013/14,Campeonato Regional Boa Vista,1,Académica,14.0,11.0,1.0,2.0,34.0,11.0,34,champions
2013/14,Campeonato Regional Boa Vista,2,Sal-Rei,14.0,10.0,1.0,3.0,25.0,15.0,31,[CW]
2013/14,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,8.0,1.0,5.0,22.0,13.0,25,[C]
2013/14,Campeonato Regional Boa Vista,4,Juventude,14.0,6.0,2.0,6.0,25.0,25.0,20,
2013/14,Campeonato Regional Boa Vista,5,África Show,14.0,5.0,2.0,7.0,20.0,21.0,17,
2013/14,Campeonato Regional Boa Vista,6,Sporting,14.0,5.0,0.0,9.0,20.0,30.0,15,
2013/14,Campeonato Regional Boa Vista,7,Sanjoanense,14.0,3.0,2.0,9.0,12.0,25.0,11,
2013/14,Campeonato Regional Boa Vista,8,Desportivo,14.0,2.0,3.0,9.0,11.0,29.0,9,
2012/13,Campeonato Regional Boa Vista,1,Onze Estrelas,14.0,12.0,1.0,1.0,34.0,7.0,37,champions
2012/13,Campeonato Regional Boa Vista,2,Sal Rei,14.0,10.0,1.0,3.0,30.0,12.0,31,
2012/13,Campeonato Regional Boa Vista,3,Académica,14.0,10.0,1.0,3.0,27.0,9.0,31,[C]
2012/13,Campeonato Regional Boa Vista,4,Juventude,14.0,6.0,1.0,7.0,20.0,21.0,19,
2012/13,Campeonato Regional Boa Vista,5,Sporting,14.0,3.0,5.0,6.0,19.0,23.0,14,
2012/13,Campeonato Regional Boa Vista,6,Desportivo,14.0,1.0,7.0,6.0,14.0,30.0,10,
2012/13,Campeonato Regional Boa Vista,7,África Show,14.0,2.0,2.0,10.0,12.0,35.0,8,
2012/13,Campeonato Regional Boa Vista,8,Sanjoanense,14.0,2.0,2.0,10.0,11.0,30.0,8,
2011/12,Campeonato Regional Boa Vista,1,Académica,14.0,10.0,3.0,1.0,26.0,8.0,33,champions
2011/12,Campeonato Regional Boa Vista,2,Sal Rei,14.0,9.0,4.0,1.0,39.0,14.0,31,[C]
2011/12,Campeonato Regional Boa Vista,3,Onze Estrelas,14.0,9.0,2.0,3.0,39.0,9.0,29,
2011/12,Campeonato Regional Boa Vista,4,África Show,14.0,5.0,3.0,6.0,19.0,24.0,18,
2011/12,Campeonato Regional Boa Vista,5,Juventude,14.0,4.0,4.0,6.0,13.0,17.0,16,
2011/12,Campeonato Regional Boa Vista,6,Sporting,14.0,4.0,0.0,10.0,11.0,24.0,12,
2011/12,Campeonato Regional Boa Vista,7,Desportivo,14.0,3.0,1.0,10.0,13.0,41.0,10,
2011/12,Campeonato Regional Boa Vista,8,Sanjoanense,14.0,2.0,3.0,9.0,9.0,32.0,9,
2010/11,Campeonato Regional Boa Vista,1,Sal Rei,14.0,9.0,3.0,2.0,35.0,9.0,30,Champions
2010/11,Campeonato Regional Boa Vista,2,Onze Estrelas,14.0,9.0,3.0,2.0,30.0,12.0,30,
2010/11,Campeonato Regional Boa Vista,3,Sporting,14.0,8.0,0.0,6.0,39.0,26.0,24,
2010/11,Campeonato Regional Boa Vista,4,Académica,14.0,7.0,3.0,4.0,18.0,22.0,24,
2010/11,Campeonato Regional Boa Vista,5,África Show,14.0,6.0,2.0,6.0,21.0,18.0,20,
2010/11,Campeonato Regional Boa Vista,6,Sanjoanense,14.0,3.0,4.0,7.0,17.0,33.0,13,
2010/11,Campeonato Regional Boa Vista,7,Juventude,14.0,2.0,3.0,9.0,11.0,26.0,9,
2010/11,Campeonato Regional Boa Vista,8,Desportivo,14.0,2.0,2.0,10.0,16.0,41.0,8,
2009/10,Campeonato Regional Boa Vista,1,Sporting Club da Boa Vista,10.0,8.0,1.0,1.0,,,25,
2009/10,Campeonato Regional Boa Vista,2,Sport Club Sal-Rei,10.0,,,,,,20,
2008/09,Campeonato Regional Boa Vista,1,Académica,8.0,5.0,3.0,0.0,12.0,3.0,18,
2008/09,Campeonato Regional Boa Vista,2,SC Sal-Rei,8.0,3.0,5.0,0.0,5.0,3.0,14,
2008/09,Campeonato Regional Boa Vista,3,África Show,7.0,2.0,2.0,3.0,11.0,8.0,8,
2008/09,Campeonato Regional Boa Vista,4,Sanjoanense,5.0,2.0,1.0,2.0,3.0,7.0,7,
2008/09,Campeonato Regional Boa Vista,5,Desportivo,6.0,2.0,1.0,3.0,5.0,7.0,7,
2008/09,Campeonato Regional Boa Vista,6,Sporting,8.0,1.0,4.0,3.0,9.0,12.0,7,
2008/09,Campeonato Regional Boa Vista,7,Juventude,6.0,0.0,2.0,4.0,1.0,6.0,2,
2007/08,Campeonato Regional Boa Vista,1,SC Sal-Rei,,,,,,,26,Champions
2007/08,Campeonato Regional Boa Vista,2,África Show,,,,,,,20,
2007/08,Campeonato Regional Boa Vista,3,Sporting,,,,,,,18,
2007/08,Campeonato Regional Boa Vista,7,Sanjoanense,,,,,,,4,
2006/07,Campeonato Regional Boa Vista,1,Sal-Rei,12.0,7.0,3.0,2.0,15.0,9.0,24,Champions
2006/07,Campeonato Regional Boa Vista,2,Associação Académica e Operária,12.0,5.0,5.0,2.0,19.0,8.0,20,
2006/07,Campeonato Regional Boa Vista,3,África Show,12.0,5.0,5.0,2.0,13.0,7.0,20,
2006/07,Campeonato Regional Boa Vista,4,Sanjoanense,12.0,4.0,3.0,5.0,12.0,10.0,15,
2006/07,Campeonato Regional Boa Vista,5,Juventude do Norte,10.0,3.0,5.0,2.0,12.0,7.0,14,
2006/07,Campeonato Regional Boa Vista,6,Sporting,11.0,3.0,2.0,6.0,12.0,14.0,11,
2006/07,Campeonato Regional Boa Vista,7,Desportivo de Estância de Baixo,11.0,1.0,1.0,9.0,2.0,30.0,4,
2005/06,Campeonato Regional Boa Vista,1,Sal-Rei,9.0,6.0,2.0,1.0,15.0,3.0,20,Champions
2005/06,Campeonato Regional Boa Vista,2,Juventude do Norte,9.0,4.0,3.0,2.0,11.0,9.0,15,
2005/06,Campeonato Regional Boa Vista,3,Sporting,10.0,3.0,5.0,2.0,12.0,10.0,14,
2005/06,Campeonato Regional Boa Vista,4,Associação Académica e Operária,10.0,3.0,3.0,4.0,12.0,10.0,12,
2005/06,Campeonato Regional Boa Vista,5,África Show,10.0,2.0,4.0,4.0,6.0,7.0,10,
2005/06,Campeonato Regional Boa Vista,6,Desportivo Estância Baixo,9.0,2.0,3.0,4.0,7.0,15.0,9,
2005/06,Campeonato Regional Boa Vista,7,Sanjoanense,9.0,2.0,2.0,5.0,6.0,15.0,8,
2004/05,Campeonato Regional Boa Vista,1,Sal-Rei,9.0,6.0,2.0,1.0,18.0,5.0,20,Champions
2004/05,Campeonato Regional Boa Vista,2,Desportivo Estância Baixo,8.0,5.0,1.0,2.0,14.0,9.0,16,
2004/05,Campeonato Regional Boa Vista,3,Sporting,6.0,2.0,3.0,1.0,5.0,4.0,9,
2004/05,Campeonato Regional Boa Vista,4,Sanjoanense,9.0,2.0,3.0,4.0,8.0,12.0,9,w/o goals rd 3.
2004/05,Campeonato Regional Boa Vista,5,África Show,6.0,1.0,4.0,1.0,6.0,6.0,7,
2004/05,Campeonato Regional Boa Vista,6,Juventude,7.0,1.0,2.0,4.0,5.0,15.0,5,w/o goals rd 3.
2004/05,Campeonato Regional Boa Vista,7,Associação Académica e Operária,7.0,0.0,3.0,4.0,4.0,9.0,3,
2003/04,Campeonato Regional Boa Vista,1,Sporting,,,,,,,17,
2003/04,Campeonato Regional Boa Vista,2,Desportivo,,,,,,,16,
2003/04,Campeonato Regional Boa Vista,3,Sal-Rei,,,,,,,15,
2003/04,Campeonato Regional Boa Vista,4,Académica,,,,,,,14,
2003/04,Campeonato Regional Boa Vista,5,Juventude,,,,,,,9,
2003/04,Campeonato Regional Boa Vista,6,Sanjoanense,,,,,,,9,
2003/04,Campeonato Regional Boa Vista,7,África Show,,,,,,,4,
2001/02,Campeonato Regional Boa Vista,1,Académica,12.0,8.0,3.0,1.0,25.0,4.0,27,[Champions]
2001/02,Campeonato Regional Boa Vista,2,Sal-Rei,12.0,8.0,1.0,3.0,16.0,9.0,25,
2001/02,Campeonato Regional Boa Vista,3,Sporting,12.0,6.0,2.0,4.0,14.0,17.0,20,
2001/02,Campeonato Regional Boa Vista,4,Desportivo,12.0,5.0,2.0,5.0,14.0,13.0,17,
2001/02,Campeonato Regional Boa Vista,5,Sanjoanense,12.0,4.0,4.0,4.0,9.0,15.0,16,
2001/02,Campeonato Regional Boa Vista,6,África Show,12.0,4.0,0.0,8.0,12.0,16.0,12,
2001/02,Campeonato Regional Boa Vista,7,Juventude,12.0,1.0,0.0,11.0,7.0,23.0,3,
1998/99,Campeonato Regional Boa Vista,1,Associao Académica,,,,,,,21,
1998/99,Campeonato Regional Boa Vista,2,Operaria,,,,,,,21,
1998/99,Campeonato Regional Boa Vista,3,Sal-Rei,,,,,,,21,
2023/24,Campeonato Regional Brava,1,Morabeza,6.0,6.0,0.0,0.0,19.0,0.0,18,champions [C]
2023/24,Campeonato Regional Brava,2,Nô Pintcha,6.0,3.0,1.0,2.0,10.0,7.0,10,
2023/24,Campeonato Regional Brava,3,Corôa,6.0,2.0,1.0,3.0,5.0,8.0,7,
2023/24,Campeonato Regional Brava,4,Sporting,6.0,0.0,0.0,6.0,1.0,20.0,0,[A]
2022/23,Campeonato Regional Brava,1,Morabeza,6.0,6.0,0.0,0.0,17.0,1.0,18,champions [C]
2022/23,Campeonato Regional Brava,2,Benfica,6.0,3.0,0.0,3.0,10.0,14.0,9,
2022/23,Campeonato Regional Brava,3,Corôa,6.0,1.0,2.0,3.0,11.0,14.0,5,
